sim_id,outcome,trades_taken,final_equity,peak_equity,max_drawdown,max_win_streak,max_loss_streak
1028,passed,23,26613.5,26613.5,464.5,5,4
1029,failed,19,23660.25,25000.0,1339.75,2,4
1030,failed,15,24350.5,25500.0,1149.5,2,6
1031,failed,21,23975.75,25000.0,1024.25,2,4
1032,passed,38,26533.75,26533.75,251.0,6,3
1033,passed,30,26556.0,26556.0,459.75,4,5
1034,passed,52,26621.75,26621.75,530.0,6,3
1035,failed,46,24728.0,25816.0,1088.0,6,4
1036,passed,40,26946.0,26946.0,867.0,6,6
1037,passed,32,26523.5,26523.5,215.0,7,3
1038,passed,12,26653.0,26653.0,337.25,3,3
1039,failed,23,23876.75,25000.0,1123.25,2,6
1040,failed,8,24403.75,25528.5,1124.75,2,6
1041,passed,8,26688.25,26688.25,127.0,7,1
1042,failed,12,23927.25,25000.0,1072.75,2,5
1043,failed,72,25370.75,26421.25,1050.5,4,6
1044,failed,53,25012.0,26151.5,1139.5,5,11
1045,failed,6,24266.5,25453.5,1187.0,1,5
1046,failed,11,23821.0,25020.5,1199.5,1,6
1047,passed,3,26591.5,26591.5,0.0,3,0
1048,passed,41,26601.0,26601.0,638.5,4,7
1049,failed,39,24401.25,25581.75,1180.5,3,6
1050,passed,18,26639.5,26639.5,285.25,4,2
1051,failed,24,24053.25,25155.5,1102.25,4,6
1052,passed,36,26579.25,26579.25,311.0,6,3
1053,failed,34,24322.5,25505.75,1183.25,4,9
1054,passed,27,26692.75,26692.75,360.0,7,3
1055,failed,8,24846.5,25876.5,1030.0,3,5
1056,failed,46,24948.75,26142.75,1194.0,4,8
1057,passed,4,26677.0,26677.0,0.0,4,0
1058,failed,7,23990.5,25000.0,1009.5,1,4
1059,failed,14,24608.0,25626.5,1018.5,3,4
1060,failed,18,24257.0,25322.5,1065.5,3,4
1061,passed,27,26792.75,26792.75,359.0,6,3
1062,failed,25,24279.5,25332.25,1052.75,3,8
1063,failed,40,24344.0,25361.75,1017.75,3,5
1064,failed,56,24291.75,25439.0,1147.25,5,4
1065,passed,48,26651.5,26651.5,734.75,4,4
1066,failed,17,24145.0,25291.75,1146.75,2,4
1067,passed,79,26816.25,26816.25,605.25,7,5
1068,passed,25,26699.25,26699.25,581.0,3,5
1069,passed,46,26549.0,26549.0,868.75,6,5
1070,passed,29,26662.5,26662.5,455.75,3,2
1071,failed,24,23955.0,25000.0,1045.0,1,5
1072,passed,76,26679.75,26679.75,775.0,9,4
1073,failed,16,24474.25,25505.0,1030.75,3,8
1074,failed,37,24300.75,25379.25,1078.5,7,5
1075,passed,12,26902.75,26902.75,287.5,3,1
1076,failed,45,24057.25,25131.0,1073.75,4,4
1077,failed,48,24284.0,25538.0,1254.0,3,4
1078,failed,54,24967.5,26075.5,1108.0,4,7
1079,passed,43,26570.25,26570.25,423.25,6,3
1080,passed,25,26621.5,26621.5,198.0,11,3
1081,failed,40,25147.0,26199.25,1052.25,4,4
1082,failed,38,24458.75,25530.0,1071.25,4,6
1083,passed,33,26712.5,26712.5,314.0,3,3
1084,failed,21,25213.5,26215.5,1002.0,3,3
1085,failed,33,24012.5,25166.5,1154.0,3,6
1086,passed,67,26537.25,26537.25,864.5,4,6
1087,failed,88,24755.5,25784.75,1029.25,9,7
1088,passed,46,26642.75,26642.75,430.25,5,5
1089,failed,54,25245.5,26275.5,1030.0,4,5
1090,passed,34,26665.0,26665.0,521.5,7,6
1091,passed,20,26511.25,26511.25,504.0,3,2
1092,passed,52,26561.75,26561.75,567.75,4,5
1093,failed,17,24644.25,25715.5,1071.25,3,8
1094,passed,47,26576.25,26576.25,660.25,5,8
1095,failed,41,24854.5,26077.75,1223.25,3,6
1096,passed,43,26828.5,26828.5,517.75,4,4
1097,failed,71,25366.0,26411.5,1045.5,5,7
1098,failed,28,24021.75,25062.0,1040.25,3,11
1099,failed,7,23997.0,25000.0,1003.0,1,5
1100,failed,31,25290.25,26298.75,1008.5,5,6
1101,passed,60,26507.5,26507.5,752.0,4,6
1102,failed,20,24694.25,25720.75,1026.5,4,4
1103,passed,78,26544.5,26544.5,863.0,7,10
1104,passed,66,26539.25,26539.25,953.25,9,7
1105,failed,33,24467.0,25666.75,1199.75,6,6
1106,passed,53,26681.25,26681.25,813.25,6,6
1107,failed,72,24432.0,25611.25,1179.25,4,8
1108,passed,48,26553.25,26553.25,763.75,6,5
1109,failed,60,25258.0,26290.0,1032.0,5,5
1110,failed,37,24526.25,25592.0,1065.75,5,7
1111,passed,10,26513.5,26513.5,236.5,3,1
1112,passed,25,26791.5,26791.5,690.5,4,4
1113,passed,107,26554.25,26554.25,944.5,5,6
1114,failed,30,24196.5,25242.0,1045.5,3,12
1115,passed,37,26602.75,26602.75,343.5,6,3
1116,failed,37,25210.25,26274.25,1064.0,5,6
1117,failed,5,23977.5,25000.0,1022.5,0,5
